,Control,L16,L20,L36,L9,L32,L33,L31,L26,L30,L2,L12,L40,L29,L34,L21,L19,L4,L1,L18,L3,L27,L8,L25,L28,L11,L7,L17,L14,L38,L23,L10,L15,L22,L24,L6,L13,L37,L35,L5,L39,taxonomy,chn,location
ASV_129,1,25,119,151,23,83,107,36,121,158,136,0,0,0,179,215,10,0,0,0,42,219,56,4,60,295,0,0,0,0,0,0,0,0,175,6,61,101,124,0,0,Metazoa; Chordata; Actinopteri; Cypriniformes; Xenocyprididae; Distoechodon; Distoechodon tumirostris,圆吻鲴,
ASV_464,1,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,Metazoa; Chordata; Actinopteri; Cypriniformes; Xenocyprididae; Elopichthys; Elopichthys bambusa,鳡,
ASV_75,1,23,22,31,8,10,28,12,15,46,156,216,4,6,10,15,23,457,4,666,431,40,356,496,883,182,30,246,840,1707,665,247,334,970,1899,11,29,4,7,99,363,Metazoa; Chordata; Actinopteri; Cypriniformes; Xenocyprididae; Hemiculter; Hemiculter leucisculus,䱗,
ASV_36,95,609,106,17,948,28,295,119,216,101,72,72,15,122,113,89,1119,5817,1199,580,899,88,108,69,91,320,619,1059,11161,26,1479,8433,2498,453,376,1496,77,15,57,1625,86,Metazoa; Chordata; Actinopteri; Cypriniformes; Xenocyprididae; Hypophthalmichthys; Hypophthalmichthys molitrix,鲢,
ASV_22,209,1025,1988,100,949,422,858,626,249,1120,369,194,653,1882,431,678,877,7592,1147,15572,1085,386,561,963,471,3160,5674,936,8095,461,1884,18975,3248,1261,726,1473,407,22,143,4119,143,Metazoa; Chordata; Actinopteri; Cypriniformes; Xenocyprididae; Hypophthalmichthys; Hypophthalmichthys nobilis,鳙,
ASV_34,6,1810,88,14,58,139,86,796,30,24988,60,63,14,730,77,482,2347,53,158,513,69,80,84,433,215,55,42,26,321,22,1120,538,173,48,508,85,38,28,11,60,36,Metazoa; Chordata; Actinopteri; Cypriniformes; Xenocyprididae; Megalobrama; Megalobrama terminalis,三角鲂,
ASV_432,0,0,0,0,253,0,0,0,54,0,0,42,0,0,0,0,0,0,0,0,6,0,0,0,114,0,0,0,0,34,0,0,0,0,0,0,0,0,4,0,0,Metazoa; Chordata; Actinopteri; Cypriniformes; Xenocyprididae; Mylopharyngodon; Mylopharyngodon piceus,青鱼,
ASV_71,251,244,6108,56,535,505,1449,1306,1924,366,375,1357,1235,693,866,1847,78,1071,30,271,839,1413,1067,432,164,1056,69,288,245,126,1744,285,1313,198,229,212,418,274,385,102,117,Metazoa; Chordata; Actinopteri; Cypriniformes; Xenocyprididae; Pseudohemiculter ; Pseudohemiculter dispar,南方拟䱗,
ASV_103,227,37,236,0,538,168,361,145,63,179,152,487,0,5,65,0,560,0,25,10,336,133,280,298,0,9,8,234,14,0,0,30,5,0,3,4,108,0,1,0,0,Metazoa; Chordata; Actinopteri; Cypriniformes; Xenocyprididae; Opsariichthys; Opsariichthys acutipinnis,尖鳍鱲,
ASV_218,150,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,0,0,36,0,0,Metazoa; Chordata; Actinopteri; Cypriniformes; Xenocyprididae; Opsariichthys; Opsariichthys uncirostris,马口鱼,
